"","detectorid","highwayid","enabledflag","locationtext","detectortype","detectorclass","detectortitle","detectorstatus","lanenumber","stationid","rampid","controllerid","end_date","start_date","milepost","agency_lane","atms_id"
"1619",3266,7,1,"I-84 EB @ 122nd ML2",8,1,"I-84 EB @ 122nd ML2",30,2,3139,3139,89,2014-09-01 00:00:00,2004-01-01 00:00:00,10.04,2,3266
"1620",3267,7,1,"I-84 EB @ 122nd ML3",8,1,"I-84 EB @ 122nd ML3",30,3,3139,3139,89,2014-09-01 00:00:00,2004-01-01 00:00:00,10.04,3,3267
"1621",3268,8,1,"I-84 WB @ 122nd ML1",8,1,"I-84 WB @ 122nd ML1",30,1,3140,3140,89,2014-09-01 00:00:00,2004-01-01 00:00:00,10.04,1,3268
"1622",3269,8,1,"I-84 WB @ 122nd ML2",8,1,"I-84 WB @ 122nd ML2",30,2,3140,3140,89,2014-09-01 00:00:00,2004-01-01 00:00:00,10.04,2,3269
"1623",3270,8,1,"I-84 WB @ 122nd ML3",8,1,"I-84 WB @ 122nd ML3",30,3,3140,3140,89,2014-09-01 00:00:00,2004-01-01 00:00:00,10.04,3,3270
"1624",3245,7,1,"I-84 EB @ 223rd ML3",8,1,"I-84 EB @ 223rd ML3",30,3,3149,3149,99,2014-09-01 00:00:00,2004-01-01 00:00:00,15.17,3,3245
"1625",3246,8,1,"I-84 WB @ 223rd ML1",8,1,"I-84 WB @ 223rd ML1",30,1,3150,3150,99,2014-09-01 00:00:00,2004-01-01 00:00:00,15.17,1,3246
"1626",3247,8,1,"I-84 WB @ 223rd ML2",8,1,"I-84 WB @ 223rd ML2",30,2,3150,3150,99,2014-09-01 00:00:00,2004-01-01 00:00:00,15.17,2,3247
"1627",1801,4,1,"Stafford to I-205 SB",8,1,"I205S2.86-ML2",30,2,1114,1114,1114,2014-09-01 00:00:00,2004-01-01 00:00:00,2.86,2,1801
"1628",1803,4,1,"10th Street to I-205 SB",8,1,"I205S6.09-ML1",30,1,1115,1115,1115,2014-09-01 00:00:00,2004-01-01 00:00:00,6.09,1,1803
"1629",1804,4,1,"10th Street to I-205 SB",8,1,"I205S6.09-ML2",30,2,1115,1115,1115,2014-09-01 00:00:00,2004-01-01 00:00:00,6.09,2,1804
"1630",1806,3,1,"10th Street to I-205 NB",8,1,"I205N6.88-ML1",30,1,1116,1116,1116,2014-09-01 00:00:00,2004-01-01 00:00:00,6.88,1,1806
"1631",1807,3,1,"10th Street to I-205 NB",8,1,"I205N6.88-ML2",30,2,1116,1116,1116,2014-09-01 00:00:00,2004-01-01 00:00:00,6.88,2,1807
"1632",3248,8,1,"I-84 WB @ 223rd ML3",8,1,"I-84 WB @ 223rd ML3",30,3,3150,3150,99,2014-09-01 00:00:00,2004-01-01 00:00:00,15.17,3,3248
"1633",3249,7,1,"I-84 EB @ 238th ML1",8,1,"I-84 EB @ 238th ML1",30,1,3151,3151,101,2014-09-01 00:00:00,2004-01-01 00:00:00,15.94,1,3249
"1634",3251,7,1,"I-84 EB @ 238th ML3",8,1,"I-84 EB @ 238th ML3",30,3,3151,3151,101,2014-09-01 00:00:00,2004-01-01 00:00:00,15.94,3,3251
"1635",3252,8,1,"I-84 WB @ 238th ML1",8,1,"I-84 WB @ 238th ML1",30,1,3152,3152,101,2014-09-01 00:00:00,2004-01-01 00:00:00,15.94,1,3252
"1636",3253,8,1,"I-84 WB @ 238th ML2",8,1,"I-84 WB @ 238th ML2",30,2,3152,3152,101,2014-09-01 00:00:00,2004-01-01 00:00:00,15.94,2,3253
"1637",3254,8,1,"I-84 WB @ 238th ML3",8,1,"I-84 WB @ 238th ML3",30,3,3152,3152,101,2014-09-01 00:00:00,2004-01-01 00:00:00,15.94,3,3254
"1638",1742,4,1,"Clackamas Hwy SB",8,1,"I205S12.67-ML1",30,1,1100,1100,1100,2014-09-01 00:00:00,2004-01-01 00:00:00,12.67,1,1742
"1639",1743,4,1,"Clackamas Hwy SB",8,1,"I205S12.67-ML2",30,2,1100,1100,1100,2014-09-01 00:00:00,2004-01-01 00:00:00,12.67,2,1743
"1640",1269,2,1,"Lombard EB to SB",8,1,"I5S305.40-ML3",0,3,1030,1030,1030,2015-06-02 15:05:00,2004-01-01 00:00:00,305.4,3,1269
"1641",1275,2,1,"Portland Blvd SB",8,1,"I5S304.85-ML1",0,1,1031,1031,1031,2015-06-02 15:05:00,2004-01-01 00:00:00,304.85,1,1275
"1642",1643,11,1,"Cornell Rd EB",8,1,"US26E65.90-ML1",2,1,1085,1085,1085,2015-06-02 15:05:00,2004-01-01 00:00:00,65.9,1,1643
"1643",1644,11,1,"Cornell Rd EB",8,1,"US26E65.90-ML2",0,2,1085,1085,1085,2015-06-02 15:05:00,2004-01-01 00:00:00,65.9,2,1644
"1644",1650,11,1,"Murray Rd EB",8,1,"US26E67.40-ML1",2,1,1086,1086,1086,2015-06-02 15:05:00,2004-01-01 00:00:00,67.4,1,1650
"1645",1651,11,1,"Murray Rd EB",8,1,"US26E67.40-ML2",2,2,1086,1086,1086,2015-06-02 15:05:00,2004-01-01 00:00:00,67.4,2,1651
"1646",1652,11,1,"Murray Rd EB",8,1,"US26E67.40-ML3",2,3,1086,1086,1086,2015-06-02 15:05:00,2004-01-01 00:00:00,67.4,3,1652
"1647",1657,11,1,"Cedar Hills Blvd EB",8,1,"US26E68.55-ML1",0,1,1087,1087,1087,2015-06-02 15:05:00,2004-01-01 00:00:00,68.55,1,1657
"1648",1658,11,1,"Cedar Hills Blvd EB",8,1,"US26E68.55-ML2",0,2,1087,1087,1087,2015-06-02 15:05:00,2004-01-01 00:00:00,68.55,2,1658
