Location,Reading,Timestamp,,
,61,10:33:00,,
,71,10:33:12,,
,56,10:33:19,,
,57,10:33:28,,
,57,10:33:29,,
,56,10:33:30,,
,55,10:33:32,,
,59,10:33:36,,
,59,10:33:40,,
,62,10:33:42,,
,63,10:33:44,,
,57,10:33:49,,
,65,10:33:57,,
,54,10:34:03,,
,56,10:34:06,,
,55,10:34:11,,
,56,10:34:13,,
,58,10:34:17,,
,60,10:34:19,,
,56,10:34:21,,
,55,10:34:23,,
,54,10:34:25,,
,58,10:34:27,,
,62,10:34:29,,
,62,10:34:31,,
,62,10:34:34,,
,58,10:34:37,,
,57,10:34:40,,
,61,10:34:45,,
,56,10:34:49,,
,55,10:34:51,,
,58,10:34:57,,
,56,10:34:59,,
,56,10:35:02,,
,57,10:35:04,,
,58,10:35:06,,
,55,10:35:07,,
,62,10:35:19,,
,60,10:35:20,,
,59,10:35:22,,
,62,10:35:25,,
,58,10:35:32,,
,59,10:35:35,,
,62,10:35:40,,
,63,10:35:43,,
,60,10:35:46,,
,57,10:35:52,,
,56,10:36:01,,
,56,10:36:06,,
,63,10:36:09,,
,62,10:36:11,,
,58,10:36:19,,
,54,10:36:21,,
,54,10:36:22,,
,50,10:36:28,,
,50,10:36:30,,
,53,10:36:33,,
,48,10:36:35,,
,51,10:36:36,,
,51,10:36:38,,
,50,10:36:40,,
,58,10:36:42,,
,58,10:36:44,,
,59,10:36:48,,
,57,10:36:50,,
,57,10:36:53,,
,58,10:36:55,,
,55,10:36:56,,
,56,10:36:58,,
,56,10:37:00,,
,56,10:37:02,,
,56,10:37:05,,
,57,10:37:06,,
,56,10:37:07,,
,54,10:37:11,,
,55,10:37:13,,
,55,10:37:15,,
,62,10:37:17,,
,59,10:37:21,,
,59,10:37:23,,
,61,10:37:30,,
,67,10:37:37,,
,74,10:37:40,,
,68,10:37:50,,
,54,10:37:57,,
,53,10:37:59,,
,56,10:38:02,,
,56,10:38:04,,
,62,10:38:07,,
,60,10:38:09,,
,61,10:38:11,,
,58,10:38:13,,
,57,10:38:15,,
,57,10:38:17,,
,56,10:38:18,,
,58,10:38:20,,
,57,10:38:23,,
,58,10:38:27,,
,57,10:38:29,,
,56,10:38:32,,
,59,10:38:36,,
,60,10:38:39,,
,59,10:38:42,,
,54,10:38:46,,
,58,10:38:52,,
,59,10:38:53,,
,57,10:38:55,,
,60,10:39:02,,
,62,10:39:04,,
,55,10:39:09,,
,58,10:39:13,,
,62,10:39:15,,
,59,10:39:17,,
,64,10:39:20,,
,60,10:39:25,,
,61,10:39:27,,
,60,10:39:33,,
,62,10:39:35,,
,59,10:39:39,,
,57,10:39:40,,
,61,10:39:42,,
,59,10:39:44,,
,67,10:39:49,,
,59,10:39:55,,
,57,10:39:58,,
,60,10:40:01,,
,60,10:40:07,,
,58,10:40:10,,
,56,10:40:13,,
,56,10:40:15,,
,56,10:40:16,,
,54,10:40:18,,
,58,10:40:20,,
,56,10:40:22,,
,63,10:40:25,,
,58,10:40:28,,
,60,10:40:32,,
,53,10:40:41,,
,63,10:40:47,,
,57,10:40:50,,
,56,10:40:52,,
,54,10:40:57,,
,54,10:40:59,,
,60,10:41:01,,
,60,10:41:02,,
,61,10:41:04,,
,60,10:41:06,,
,61,10:41:08,,
,62,10:41:14,,
,61,10:41:16,,
,61,10:41:18,,
,60,10:41:22,,
,60,10:41:24,,
,62,10:41:26,,
,63,10:41:28,,
,60,10:41:30,,
,59,10:41:31,,
,60,10:41:34,,
,58,10:41:35,,
,60,10:41:38,,
,57,10:41:44,,
,63,10:41:46,,
,67,10:41:49,,
,65,10:41:51,,
,62,10:41:57,,
,61,10:42:01,,
,56,10:42:05,,
,62,10:42:07,,
,64,10:42:11,,
,59,10:42:13,,
,58,10:42:26,,
,59,10:42:32,,
,61,10:42:35,,
,65,10:42:36,,
,58,10:42:38,,
,59,10:42:41,,
,61,10:42:43,,
,61,10:42:45,,
,59,10:42:52,,
,64,10:42:56,,
,60,10:43:04,,
,58,10:43:07,,
,59,10:43:09,,
,58,10:43:10,,
,57,10:43:12,,
,58,10:43:13,,
,61,10:43:16,,
,62,10:43:18,,
,59,10:43:20,,
,57,10:43:21,,
,64,10:43:26,,
,61,10:43:28,,
,64,10:43:31,,
,62,10:43:38,,
,67,10:43:41,,
,66,10:43:54,,
,60,10:43:56,,
,57,10:44:02,,
,56,10:44:03,,
,57,10:44:06,,
,55,10:44:08,,
,54,10:44:10,,
,55,10:44:11,,
,57,10:44:13,,
,58,10:44:15,,
,59,10:44:18,,
,57,10:44:21,,
,59,10:44:24,,
,56,10:44:26,,
,56,10:44:28,,
,57,10:44:30,,
,55,10:44:32,,
,55,10:44:33,,
,60,10:44:35,,
,57,10:44:37,,
,56,10:44:46,,
,51,10:44:55,,
,53,10:44:57,,
,53,10:44:59,,
,58,10:45:00,,
,60,10:45:02,,
,56,10:45:07,,
,54,10:45:09,,
,62,10:45:13,,
,63,10:45:15,,
,65,10:45:18,,
,58,10:45:19,,
,60,10:45:22,,
,56,10:45:24,,
,62,10:45:26,,
,59,10:45:28,,
,61,10:45:30,,
,58,10:45:36,,
,60,10:45:41,,
,55,10:45:42,,
,59,10:45:45,,
,49,10:45:52,,
,49,10:45:55,,
,52,10:45:57,,
,55,10:45:58,,
,59,10:46:04,,
,64,10:46:07,,
,60,10:46:11,,
,57,10:46:14,,
,60,10:46:20,,
,60,10:46:32,,
,61,10:46:33,,
,59,10:46:35,,
,59,10:46:48,,
,54,10:46:57,,
,55,10:46:58,,
,64,10:47:02,,
,59,10:47:04,,
,68,10:47:07,,
,63,10:47:08,,
,63,10:47:17,,
,61,10:47:20,,
,60,10:47:21,,
,59,10:47:23,,
,57,10:47:25,,
,58,10:47:27,,
,56,10:47:29,,
,56,10:47:30,,
,61,10:47:40,,
,63,10:47:42,,
,58,10:47:46,,
,60,10:47:47,,
,58,10:47:51,,
,67,10:47:57,,
,61,10:47:58,,
,60,10:48:03,,
,59,10:48:04,,
,60,10:48:05,,
,61,10:48:07,,
,61,10:48:10,,
,61,10:48:16,,
,60,10:48:19,,
,62,10:48:22,,
,56,10:48:25,,
,58,10:48:27,,
,62,10:48:29,,
,63,10:48:31,,
,56,10:48:40,,
,58,10:48:41,,
,60,10:48:44,,
,58,10:48:47,,
,59,10:48:49,,
,59,10:48:50,,
,56,10:48:52,,
,64,10:48:56,,
,59,10:48:58,,
,55,10:49:00,,
,56,10:49:02,,
,56,10:49:05,,
,57,10:49:11,,
,59,10:49:13,,
,59,10:49:15,,
,61,10:49:17,,
,68,10:49:19,,
,66,10:49:25,,
,64,10:49:34,,
,67,10:49:38,,
,69,10:49:42,,
,56,10:49:47,,
,57,10:49:53,,
,57,10:49:57,,
,56,10:49:59,,
,58,10:50:02,,
,57,10:50:04,,
,59,10:50:12,,
I-205 SB @ OR224 Lane 1,62,13:18:08,,
,65,13:18:23,,
,62,13:18:26,,
,68,13:18:30,,
,60,13:18:41,,
,65,13:18:42,,
,65,13:18:47,,
,65,13:18:50,,
,67,13:18:55,,
,61,13:18:59,,
,70,13:19:11,,
,72,13:19:13,,
,71,13:19:17,,
,68,13:19:23,,
,65,13:19:27,,
,71,13:19:40,,
,68,13:19:42,,
,61,13:19:45,,
,60,13:19:47,,
,65,13:19:55,,
,66,13:19:57,,
,69,13:20:08,,
,69,13:20:10,,
,66,13:20:12,,
,60,13:20:26,,
,63,13:20:29,,
,64,13:20:32,,
,64,13:20:34,,
,66,13:20:41,,
,67,13:20:55,,
,67,13:21:05,,
,63,13:21:15,,
,63,13:21:19,,
,62,13:21:22,,
,58,13:21:29,,
,65,13:21:32,,
,66,13:21:33,,
,61,13:21:35,,
,64,13:21:48,,
,69,13:22:08,,
,61,13:22:15,,
,71,13:22:25,,
,66,13:22:27,,
,67,13:22:29,,
,62,13:22:40,,
