starttime,traveltime
7/4/15 17:03,481
7/4/15 17:11,787
7/4/15 17:17,466
7/4/15 17:20,1247
7/4/15 17:28,1275
7/4/15 18:03,521
7/4/15 18:14,468
7/4/15 18:51,438
7/4/15 19:00,473
7/4/15 19:00,470
7/4/15 19:09,509
7/4/15 19:25,413
7/4/15 19:29,386
7/4/15 19:31,477
7/4/15 19:44,479
7/4/15 19:59,461
7/4/15 20:14,524
7/4/15 20:23,706
7/4/15 20:25,467
7/4/15 20:32,386
7/4/15 20:40,524
7/4/15 21:13,501
7/4/15 21:14,437
7/4/15 22:07,2433
7/4/15 22:27,518
7/4/15 22:32,753
7/4/15 22:37,513
7/4/15 22:43,573
7/4/15 22:45,496
7/4/15 23:02,654
7/4/15 23:02,652
7/4/15 23:03,630
7/4/15 23:03,619
7/4/15 23:08,478
7/4/15 23:14,2341
7/4/15 23:14,2590
7/4/15 23:14,566
7/4/15 23:14,2509
7/4/15 23:18,604
7/4/15 23:21,606
7/5/15 0:09,487
7/5/15 0:16,532
7/5/15 0:18,627
7/5/15 0:34,359
7/5/15 0:42,551
7/5/15 0:42,554
7/5/15 1:29,500
7/5/15 2:45,428
7/5/15 4:41,432
7/5/15 6:29,395
7/5/15 7:50,389
7/5/15 8:07,757
7/5/15 8:19,324
7/5/15 9:20,458
7/5/15 9:36,496
7/5/15 9:49,444
7/5/15 10:02,776
7/5/15 10:02,1543
7/5/15 10:26,501
7/5/15 10:37,456
7/5/15 10:40,461
7/5/15 10:40,493
7/5/15 10:50,565
7/5/15 11:24,497
7/5/15 12:04,499
7/5/15 12:15,2351
7/5/15 12:15,1399
7/5/15 12:18,462
7/5/15 12:21,1866
7/5/15 12:22,488
7/5/15 12:23,481
7/5/15 12:27,499
7/5/15 12:31,449
7/5/15 13:00,496
7/5/15 13:06,543
7/5/15 13:09,468
7/5/15 13:13,665
7/5/15 13:17,555
7/5/15 13:23,570
7/5/15 13:24,558
7/5/15 13:29,1294
7/5/15 14:00,1442
7/5/15 14:01,858
7/5/15 14:04,975
7/5/15 14:05,520
7/5/15 14:06,502
7/5/15 14:07,1542
7/5/15 14:11,1068
7/5/15 14:14,1234
7/5/15 14:15,509
7/5/15 14:18,476
7/5/15 14:25,473
7/5/15 14:28,456
7/5/15 14:29,561
7/5/15 14:32,515
7/5/15 14:35,547
7/5/15 14:50,533
7/5/15 15:06,421
7/5/15 15:12,485
7/5/15 15:32,665
7/5/15 15:39,449
7/5/15 15:46,586
7/5/15 15:49,571
7/5/15 16:20,554
7/5/15 16:29,530
7/5/15 17:11,517
7/5/15 17:36,487
7/5/15 18:08,423
7/5/15 18:13,582
7/5/15 18:17,519
7/5/15 18:23,483
7/5/15 18:39,493
7/5/15 18:39,533
7/5/15 19:01,540
7/5/15 19:05,520
7/5/15 19:14,388
7/5/15 19:21,559
7/5/15 19:25,496
7/5/15 20:02,502
7/5/15 20:02,501
7/5/15 20:12,585
7/5/15 20:16,515
7/5/15 20:33,567
7/5/15 21:01,475
7/5/15 21:13,549
7/5/15 21:13,514
7/5/15 21:36,865
7/5/15 21:43,462
7/5/15 22:19,544
7/5/15 23:05,1522
7/5/15 23:11,1002
7/5/15 23:15,905
7/5/15 23:36,854
7/5/15 23:50,474
7/6/15 0:08,394
7/6/15 0:19,580
7/6/15 0:19,577
7/6/15 3:03,2189
7/6/15 3:20,365
7/6/15 5:41,795
7/6/15 6:01,2034
7/6/15 6:29,402
7/6/15 6:46,454
7/6/15 7:08,435
7/6/15 7:25,500
7/6/15 7:26,572
7/6/15 8:00,492
7/6/15 8:08,974
7/6/15 8:08,975
7/6/15 8:08,975
7/6/15 8:18,486
7/6/15 8:25,485
7/6/15 8:38,569
7/6/15 8:39,496
7/6/15 8:43,483
7/6/15 9:23,505
7/6/15 9:31,514
7/6/15 9:36,488
7/6/15 9:36,925
7/6/15 9:36,923
7/6/15 9:37,801
7/6/15 9:52,441
7/6/15 10:09,456
7/6/15 10:15,1272
7/6/15 10:15,1269
7/6/15 10:19,2387
7/6/15 10:24,1129
7/6/15 10:27,974
7/6/15 10:27,568
7/6/15 10:27,569
7/6/15 10:27,530
7/6/15 10:30,506
7/6/15 11:05,520
7/6/15 11:15,566
7/6/15 11:19,473
7/6/15 11:22,440
7/6/15 11:25,585
7/6/15 11:30,491
7/6/15 11:34,475
7/6/15 11:37,475
7/6/15 11:38,524
7/6/15 11:38,434
7/6/15 11:38,439
7/6/15 11:38,520
7/6/15 12:15,531
7/6/15 12:15,662
7/6/15 12:20,591
7/6/15 12:28,568
7/6/15 12:49,548
7/6/15 13:23,583
7/6/15 13:29,632
7/6/15 13:37,586
7/6/15 13:38,503
7/6/15 13:40,501
7/6/15 13:46,489
7/6/15 13:47,567
7/6/15 13:49,559
7/6/15 14:23,591
7/6/15 14:29,567
7/6/15 14:33,665
7/6/15 14:37,719
7/6/15 14:38,701
7/6/15 15:06,526
7/6/15 15:13,655
7/6/15 15:29,670
7/6/15 15:30,670
7/6/15 15:37,557
7/6/15 15:38,536
7/6/15 15:44,644
7/6/15 15:47,686
7/6/15 16:03,700
7/6/15 16:04,1318
7/6/15 16:04,748
7/6/15 16:09,747
7/6/15 16:15,657
7/6/15 16:15,1338
7/6/15 16:20,713
7/6/15 16:20,686
7/6/15 16:24,703
7/6/15 16:24,691
7/6/15 16:24,653
7/6/15 16:25,831
7/6/15 16:28,667
7/6/15 16:33,742
7/6/15 16:34,719
7/6/15 16:35,731
7/6/15 16:39,672
7/6/15 17:01,817
7/6/15 17:05,837
7/6/15 17:06,817
7/6/15 17:10,948
7/6/15 17:11,866
7/6/15 17:12,959
7/6/15 17:13,1047
7/6/15 17:18,908
7/6/15 17:19,744
7/6/15 17:22,870
7/6/15 17:23,787
7/6/15 17:25,773
7/6/15 17:30,616
7/6/15 17:30,769
7/6/15 17:36,690
7/6/15 17:38,636
7/6/15 17:39,706
7/6/15 17:40,777
7/6/15 17:40,729
7/6/15 17:43,657
7/6/15 18:02,585
7/6/15 18:08,695
7/6/15 18:13,682
7/6/15 18:20,481
7/6/15 18:22,580
7/6/15 18:28,590
7/6/15 18:28,491
7/6/15 18:45,615
7/6/15 18:51,466
7/6/15 19:10,542
7/6/15 19:24,483
7/6/15 19:28,485
7/6/15 19:33,1508
7/6/15 19:36,478
7/6/15 19:39,520
7/6/15 19:50,527
