detectorid,highwayid,enabledflag,locationtext,detectortype,detectorclass,detectortitle,detectorstatus,lanenumber,stationid,rampid,controllerid,end_date,start_date,milepost,agency_lane,atms_id
100920,3,1,OR 213/Park Place to I-205 NB,8,1,100920/2,20,2,1144,1144,1144,,2014-09-01 00:00:00-07,10.27,2,1958
100921,3,1,OR 213/Park Place to I-205 NB,8,1,100921/3,20,1,1144,1144,1144,,2014-09-01 00:00:00-07,10.27,3,1957
101124,7,1,181st (2DS024) @ EB I-84 MP13.04,8,1,101124/2,20,2,3145,3145,3145,,2014-09-01 00:00:00-07,13.04,2,3230
101125,7,1,181st (2DS024) @ EB I-84 MP13.04,8,1,101125/3,20,1,3145,3145,3145,,2014-09-01 00:00:00-07,13.04,3,3229
100562,1,1,EB Elligsen Loop (2R315) to NB I-5 ,8,1,100562/1,0,3,1001,1001,1001,,2014-09-19 00:00:00-07,286.1,1,1003
100563,1,1,EB Elligsen Loop (2R315) to NB I-5 ,8,1,100563/2,0,2,1001,1001,1001,,2014-09-19 00:00:00-07,286.1,2,1002
100564,1,1,EB Elligsen Loop (2R315) to NB I-5 ,8,1,100564/3,0,1,1001,1001,1001,,2014-09-19 00:00:00-07,286.1,3,1001
100420,1,1,WB Elligsen Slip (2R314) to NB I-5,8,1,100420/1,0,3,1002,1002,1002,,2014-09-19 00:00:00-07,286.3,1,1011
100421,1,1,WB Elligsen Slip (2R314) to NB I-5,8,1,100421/2,0,2,1002,1002,1002,,2014-09-19 00:00:00-07,286.3,2,1010
100422,1,1,WB Elligsen Slip (2R314) to NB I-5,8,1,100422/3,0,1,1002,1002,1002,,2014-09-19 00:00:00-07,286.3,3,1009
100423,1,1,EB Nyberg Loop (2R313) to NB I-5,8,1,100423/1,0,3,1003,1003,1003,,2014-09-19 00:00:00-07,289.4,1,1019
100424,1,1,EB Nyberg Loop (2R313) to NB I-5,8,1,100424/2,0,2,1003,1003,1003,,2014-09-19 00:00:00-07,289.4,2,1018
100425,1,1,EB Nyberg Loop (2R313) to NB I-5,8,1,100425/3,0,1,1003,1003,1003,,2014-09-19 00:00:00-07,289.4,3,1017
100426,1,1,WB Nyberg Slip (2R312) to NB I-5,8,1,100426/1,0,3,1004,1004,1004,,2014-09-19 00:00:00-07,289.63,1,1027
100427,1,1,WB Nyberg Slip (2R312) to NB I-5,8,1,100427/2,0,2,1004,1004,1004,,2014-09-19 00:00:00-07,289.63,2,1026
100428,1,1,WB Nyberg Slip (2R312) to NB I-5,8,1,100428/3,0,1,1004,1004,1004,,2014-09-19 00:00:00-07,289.63,3,1025
100429,1,1,Lower Boones (2R311) to NB I-5,8,1,100429/1,0,3,1005,1005,1005,,2014-09-19 00:00:00-07,290.54,1,1043
100430,1,1,Lower Boones (2R311) to NB I-5,8,1,100430/2,0,2,1005,1005,1005,,2014-09-19 00:00:00-07,290.54,2,1042
100431,1,1,Lower Boones (2R311) to NB I-5,8,1,100431/3,0,1,1005,1005,1005,,2014-09-19 00:00:00-07,290.54,3,1041
100434,1,1,Carman (2R316) to NB I-5,8,1,100434/3,0,1,1006,1006,1006,,2014-09-19 00:00:00-07,291.38,3,1057
100433,1,1,Carman (2R316) to NB I-5,8,1,100433/2,0,2,1006,1006,1006,,2014-09-19 00:00:00-07,291.38,2,1058
100432,1,1,Carman (2R316) to NB I-5,8,1,100432/1,0,3,1006,1006,1006,,2014-09-19 00:00:00-07,291.38,1,1059
100435,1,1,OR 217/Kruse Way (2R317) to NB I-5,8,1,100435/1,0,3,1007,1007,1007,,2014-09-19 00:00:00-07,292.18,1,1075
100436,1,1,OR 217/Kruse Way (2R317) to NB I-5,8,1,100436/2,0,2,1007,1007,1007,,2014-09-19 00:00:00-07,292.18,2,1074
100437,1,1,OR 217/Kruse Way (2R317) to NB I-5,8,1,100437/3,0,1,1007,1007,1007,,2014-09-19 00:00:00-07,292.18,3,1073
100757,1,1,Haines (2R308) to NB I-5,8,1,100757/3,0,1,1008,1008,1008,,2014-10-23 00:00:00-07,293.18,3,1089
100756,1,1,Haines (2R308) to NB I-5,8,1,100756/2,0,2,1008,1008,1008,,2014-10-23 00:00:00-07,293.18,2,1090
100755,1,1,Haines (2R308) to NB I-5,8,1,100755/1,0,3,1008,1008,1008,,2014-10-23 00:00:00-07,293.18,1,1091
100760,1,1,99W (2R307) to NB I-5,8,1,100760/3,0,1,1009,1009,1009,,2014-10-23 00:00:00-07,293.74,3,1097
100759,1,1,99W (2R307) to NB I-5,8,1,100759/2,0,2,1009,1009,1009,,2014-10-23 00:00:00-07,293.74,2,1098
100758,1,1,99W (2R307) to NB I-5,8,1,100758/1,0,3,1009,1009,1009,,2014-10-23 00:00:00-07,293.74,1,1099
100763,1,1,Capitol (2R306) to NB I-5,8,1,100763/3,0,1,1010,1010,1010,,2014-10-23 00:00:00-07,295.18,3,1105
100762,1,1,Capitol (2R306) to NB I-5,8,1,100762/2,0,2,1010,1010,1010,,2014-10-23 00:00:00-07,295.18,2,1106
100761,1,1,Capitol (2R306) to NB I-5,8,1,100761/1,0,3,1010,1010,1010,,2014-10-23 00:00:00-07,295.18,1,1107
100766,1,1,Spring Garden (2R305) to NB I-5,8,1,100766/3,0,1,1011,1011,1011,,2014-10-23 00:00:00-07,296.26,3,1113
100765,1,1,Spring Garden (2R305) to NB I-5,8,1,100765/2,0,2,1011,1011,1011,,2014-10-23 00:00:00-07,296.26,2,1114
100764,1,1,Spring Garden (2R305) to NB I-5,8,1,100764/1,0,3,1011,1011,1011,,2014-10-23 00:00:00-07,296.26,1,1115
100769,1,1,Multnomah (2R304) to NB I-5,8,1,100769/3,0,1,1012,1012,1012,,2014-10-23 00:00:00-07,296.6,3,1121
100768,1,1,Multnomah (2R304) to NB I-5,8,1,100768/2,0,2,1012,1012,1012,,2014-10-23 00:00:00-07,296.6,2,1122
100767,1,1,Multnomah (2R304) to NB I-5,8,1,100767/1,0,3,1012,1012,1012,,2014-10-23 00:00:00-07,296.6,1,1123
100775,1,1,Terwilliger (2R303) to NB I-5,8,1,100775/3,0,1,1013,1013,1013,,2014-10-23 00:00:00-07,297.33,3,1129
100774,1,1,Terwilliger (2R303) to NB I-5,8,1,100774/2,0,2,1013,1013,1013,,2014-10-23 00:00:00-07,297.33,2,1130
100773,1,1,Terwilliger (2R303) to NB I-5,8,1,100773/1,0,3,1013,1013,1013,,2014-10-23 00:00:00-07,297.33,1,1131
100772,1,1,Bertha (2R309) to NB I-5,8,1,100772/3,0,1,1014,1014,1014,,2014-10-23 00:00:00-07,297.33,3,1137
100771,1,1,Bertha (2R309) to NB I-5,8,1,100771/2,0,2,1014,1014,1014,,2014-10-23 00:00:00-07,297.33,2,1138
100770,1,1,Bertha (2R309) to NB I-5,8,1,100770/1,0,3,1014,1014,1014,,2014-10-23 00:00:00-07,297.33,1,1139
100369,1,1,Macadam Ave NB,8,1,100369/1,0,2,1015,1015,1015,,2014-05-01 00:00:00-07,299.7,1,1146
100370,1,1,Macadam Ave NB,8,1,100370/2,0,1,1015,1015,1015,,2014-05-01 00:00:00-07,299.7,2,1145
100783,1,1,Broadway (2R001) to NB I-5,8,1,100783/2,1,1,1018,1018,1018,,2015-06-02 15:10:00-07,302.5,2,1173
100782,1,1,Broadway (2R001) to NB I-5,8,1,100782/1,1,2,1018,1018,1018,,2015-06-02 15:10:00-07,302.5,1,1174
100784,1,1,Going (2R002) to NB I-5,8,1,100784/1,1,2,1019,1019,1019,,2015-06-02 15:10:00-07,303.88,1,1181
100786,1,1,Alberta (2R003) to NB I-5,8,1,100786/1,1,2,1020,1020,1020,,2015-06-02 15:10:00-07,304.4,1,1188
100788,1,1,Rosa Parks (2R004) to NB I-5,8,1,100788/1,1,2,1021,1021,1021,,2015-06-02 15:10:00-07,305.12,1,1196
100790,1,1,Denver (2R005) to NB I-5,8,1,100790/1,1,2,1022,1022,1022,,2015-06-02 15:10:00-07,306.51,1,1204
100792,1,1,Victory (2R006) to NB I-5,8,1,100792/1,1,2,1023,1023,1023,,2015-06-02 15:10:00-07,306.53,1,1212
100796,1,1,Marine Dr/99E (2R007) to NB I-5,8,1,100796/3,1,1,1024,1024,1024,,2015-06-02 15:10:00-07,307.46,3,1220
100794,1,1,Marine Dr/99E (2R007) to NB I-5,8,1,100794/1,1,3,1024,1024,1024,,2015-06-02 15:10:00-07,307.46,1,1222
100795,1,1,Marine Dr/99E (2R007) to NB I-5,8,1,100795/2,1,2,1024,1024,1024,,2015-06-02 15:10:00-07,307.46,2,1221
100797,1,1,Jantzen Beach (2R008) to NB I-5,8,1,100797/1,1,3,1025,1025,1025,,2015-06-02 15:10:00-07,307.9,1,1230
100798,1,1,Jantzen Beach (2R008) to NB I-5,8,1,100798/2,1,2,1025,1025,1025,,2015-06-02 15:10:00-07,307.9,2,1229
100799,1,1,Jantzen Beach (2R008) to NB I-5,8,1,100799/3,1,1,1025,1025,1025,,2015-06-02 15:10:00-07,307.9,3,1228
100843,2,1,Jantzen Beach (2R009) to SB I-5,8,1,100843/2,1,2,1026,1026,1026,,2015-06-02 15:10:00-07,307.9,2,1237
100844,2,1,Jantzen Beach (2R009) to SB I-5,8,1,100844/3,1,1,1026,1026,1026,,2015-06-02 15:10:00-07,307.9,3,1236
100842,2,1,Jantzen Beach (2R009) to SB I-5,8,1,100842/1,1,3,1026,1026,1026,,2015-06-02 15:10:00-07,307.9,1,1238
100840,2,1,Marine Dr/99E (2R010) to SB I-5,8,1,100840/2,1,2,1027,1027,1027,,2015-06-02 15:10:00-07,307.35,2,1245
100839,2,1,Marine Dr/99E (2R010) to SB I-5,8,1,100839/1,1,3,1027,1027,1027,,2015-06-02 15:10:00-07,307.35,1,1246
100841,2,1,Marine Dr/99E (2R010) to SB I-5,8,1,100841/3,1,1,1027,1027,1027,,2015-06-02 15:10:00-07,307.35,3,1244
100834,2,1,Columbia (2R011) to SB I-5,8,1,100834/2,1,2,1028,1028,1028,,2015-06-02 15:10:00-07,305.97,2,1253
100835,2,1,Columbia (2R011) to SB I-5,8,1,100835/3,1,1,1028,1028,1028,,2015-06-02 15:10:00-07,305.97,3,1252
