starttime,traveltime
7/5/15 20:47,489
7/5/15 21:01,850
7/5/15 21:01,748
7/5/15 21:03,445
7/5/15 21:24,531
7/5/15 22:09,2610
7/5/15 23:11,955
7/5/15 23:33,1122
7/6/15 0:00,1392
7/6/15 0:25,416
7/6/15 0:49,366
7/6/15 4:33,790
7/6/15 5:03,692
7/6/15 5:12,367
7/6/15 5:13,626
7/6/15 5:25,356
7/6/15 5:38,407
7/6/15 5:48,335
7/6/15 5:48,345
7/6/15 6:06,461
7/6/15 6:15,484
7/6/15 6:17,481
7/6/15 6:18,506
7/6/15 6:22,596
7/6/15 6:29,475
7/6/15 6:35,527
7/6/15 6:43,493
7/6/15 6:46,521
7/6/15 7:02,595
7/6/15 7:03,654
7/6/15 7:08,620
7/6/15 7:10,610
7/6/15 7:11,528
7/6/15 7:12,594
7/6/15 7:13,1202
7/6/15 7:17,694
7/6/15 7:18,685
7/6/15 7:19,698
7/6/15 7:21,779
7/6/15 7:30,763
7/6/15 7:30,756
7/6/15 7:39,776
7/6/15 7:39,761
7/6/15 7:42,731
7/6/15 7:42,730
7/6/15 7:45,616
7/6/15 8:05,437
7/6/15 8:09,843
7/6/15 8:10,551
7/6/15 8:14,711
7/6/15 8:14,557
7/6/15 8:16,1578
7/6/15 8:23,532
7/6/15 8:23,602
7/6/15 8:23,611
7/6/15 8:26,560
7/6/15 8:30,566
7/6/15 8:37,642
7/6/15 8:42,587
7/6/15 8:42,586
7/6/15 8:42,586
7/6/15 8:46,671
7/6/15 9:08,871
7/6/15 9:13,2551
7/6/15 9:16,618
7/6/15 9:16,2556
7/6/15 9:17,997
7/6/15 9:19,509
7/6/15 9:23,519
7/6/15 9:28,530
7/6/15 9:32,520
7/6/15 9:32,617
7/6/15 9:34,581
7/6/15 9:38,571
7/6/15 9:44,581
7/6/15 9:45,635
7/6/15 9:47,595
7/6/15 10:01,524
7/6/15 10:01,525
7/6/15 10:17,1004
7/6/15 10:33,750
7/6/15 10:33,549
7/6/15 10:49,488
7/6/15 11:09,515
7/6/15 11:11,1563
7/6/15 11:11,1725
7/6/15 11:21,747
7/6/15 11:21,549
7/6/15 11:31,585
7/6/15 12:08,600
7/6/15 12:10,2580
7/6/15 12:15,699
7/6/15 12:18,606
7/6/15 12:20,642
7/6/15 12:23,580
7/6/15 12:24,668
7/6/15 12:24,705
7/6/15 12:36,562
7/6/15 12:48,622
7/6/15 13:07,511
7/6/15 13:19,1124
7/6/15 13:20,531
7/6/15 13:23,595
7/6/15 13:28,521
7/6/15 13:33,591
7/6/15 13:35,615
7/6/15 13:38,560
7/6/15 13:42,672
7/6/15 13:43,561
7/6/15 13:45,527
7/6/15 14:14,1984
7/6/15 14:16,597
7/6/15 14:18,486
7/6/15 14:28,656
7/6/15 14:37,634
7/6/15 14:39,613
7/6/15 14:49,595
7/6/15 15:31,476
7/6/15 15:39,629
7/6/15 15:42,694
7/6/15 15:43,631
7/6/15 15:43,689
7/6/15 15:45,843
7/6/15 15:48,560
7/6/15 15:48,544
7/6/15 16:05,596
7/6/15 16:12,633
7/6/15 16:14,546
7/6/15 16:27,533
7/6/15 16:29,659
7/6/15 16:30,594
7/6/15 17:02,1390
7/6/15 17:08,904
7/6/15 17:20,537
7/6/15 17:34,955
7/6/15 17:36,588
7/6/15 17:38,505
7/6/15 17:41,541
7/6/15 17:42,471
7/6/15 18:13,493
7/6/15 18:19,583
7/6/15 18:22,1130
7/6/15 18:26,612
7/6/15 19:04,409
7/6/15 19:16,972
7/6/15 19:16,748
7/6/15 19:18,2098
7/6/15 19:25,493
7/6/15 19:28,477
7/6/15 20:01,1513
7/6/15 20:01,1514
7/6/15 20:19,476
7/6/15 20:30,572
7/6/15 21:18,435
7/6/15 21:32,796
7/6/15 21:38,564
7/6/15 21:40,541
7/6/15 21:47,499
7/6/15 22:03,483
7/6/15 22:40,413
7/6/15 22:47,375
7/6/15 23:41,456
7/6/15 23:42,434
7/7/15 0:10,337
7/7/15 0:33,834
7/7/15 0:35,364
7/7/15 0:48,407
7/7/15 2:30,407
7/7/15 3:27,429
7/7/15 4:01,446
7/7/15 4:35,740
7/7/15 4:41,406
7/7/15 5:13,393
7/7/15 5:15,429
7/7/15 5:21,406
7/7/15 5:30,428
7/7/15 5:31,394
7/7/15 6:01,402
7/7/15 6:01,366
7/7/15 6:04,452
7/7/15 6:15,489
7/7/15 6:16,410
7/7/15 6:17,505
7/7/15 6:21,517
7/7/15 6:21,508
7/7/15 6:23,506
7/7/15 6:25,569
7/7/15 6:27,545
7/7/15 6:27,518
7/7/15 6:29,565
7/7/15 6:31,550
